MANUFACTURE,MODEL,Variant,FUEL,CC,Seating,Showroom,TP,OD
ASHOK LEYLAND,STILE,LE 7S (DIESEL) 1461cc,(DIESEL),1461,7,799000,10640,3.191
ASHOK LEYLAND,STILE,LE 8S (DIESEL) 1461cc,(DIESEL),1461,8,810000,10640,3.191
ASHOK LEYLAND,STILE,LS 7S (DIESEL) 1461cc,(DIESEL),1461,7,910000,10640,3.191
ASHOK LEYLAND,STILE,LS 8S (DIESEL) 1461cc,(DIESEL),1461,8,860000,10640,3.191
ASHOK LEYLAND,STILE,LS ALLOY 7S (DIESEL) 1461cc,(DIESEL),1461,7,948000,10640,3.191
ASHOK LEYLAND,STILE,LX 7S (DIESEL) 1461cc,(DIESEL),1461,7,920000,10640,3.191
ASHOK LEYLAND,STILE,LX 8S (DIESEL) 1461cc,(DIESEL),1461,8,890000,10640,3.191
ASTON MARTIN,DB9,6.0 V12 (PETROL) 5935cc,(PETROL),5935,4,19000000,24596,3.343
ASTON MARTIN,DBS COUPE,6.0 V12 (PETROL) 5935cc,(PETROL),5935,2,13000000,24596,3.343
ASTON MARTIN,RAPIDE,S V12 (PETROL) 5935cc,(PETROL),5935,4,32900000,24596,3.343
ASTON MARTIN,VANTAGE,V8 (PETROL) 4735cc,(PETROL),4735,2,25500000,24596,3.343
ASTON MARTIN,VANTAGE,V8 ROADSTER (PETROL) 4735cc,(PETROL),4735,2,27500000,24596,3.343
ASTON MARTIN,VANTAGE,V8 SPORT (PETROL) 4735cc,(PETROL),4735,2,13500000,24596,3.343
ASTON MARTIN,VIRAGE,6.0 V12 (PETROL) 5935cc,(PETROL),5935,4,14500000,24596,3.343
